recordUid,recordTimestamp,spacesTenantId,spacesTenantName,partnerTenantId,eventType,id,time,x,y,confidence,deviceType,floor
event-6ca53fbb,1711021956814,,,,KEEP_ALIVE,,,,,,,
event-9a2839c9,1711021959608,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
event-a2b69f40,1711021963269,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
event-6fafdf6e,1711021964256,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
event-c7d081b2,1711021964585,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-bf69fd89,1711021980398,,,,KEEP_ALIVE,,,,,,,
event-8fe96ebe,1711021985295,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-42b21d24,1711021999549,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-90bdf4ab,1711022001285,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-7684a5dc,1711022016331,,,,KEEP_ALIVE,,,,,,,
event-5943eb1a,1711022031332,,,,KEEP_ALIVE,,,,,,,
event-b6da5884,1711024896521,,,,KEEP_ALIVE,,,,,,,
event-25c57b76,1711024911523,,,,KEEP_ALIVE,,,,,,,
event-f2d510ab,1711024881753,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
event-7903bbb3,1711024909740,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-7fdd4e85,1711024921088,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-23dc6380,1711024875876,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
event-ee548fb0,1711024921598,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-4a822c95,1711024922788,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-97309832,1711024923340,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-c8d4a083,1711024926433,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,WEBEX_TELEMETRY,,,,,,,
event-96bfb9b2,1711024926551,spaces-tenant-dc8d3aa5,CXC,F7EE24937F9244518E0CBEDEA3BEB05F,DEVICE_COUNT,,,,,,,
